0013	WRAP	NORMAL	60	2900	-33	2050	2700
0014	HYPER_BEAM	NORMAL	150	3800	-100	3300	3600
0016	DARK_PULSE	DARK	80	3000	-50	1400	2300
0018	SLUDGE	POISON	50	2100	-33	1200	1550
0020	VICE_GRIP	NORMAL	35	1900	-33	1100	1500
0021	FLAME_WHEEL	FIRE	60	2700	-50	2100	2400
0022	MEGAHORN	BUG	110	2200	-100	1700	1900
0024	FLAMETHROWER	FIRE	70	2200	-50	1500	1700
0026	DIG	GROUND	100	4700	-50	2800	4500
0028	CROSS_CHOP	FIGHTING	50	1500	-50	800	1200
0030	PSYBEAM	PSYCHIC	70	3200	-50	1300	2700
0031	EARTHQUAKE	GROUND	140	3600	-100	2700	3500
0032	STONE_EDGE	ROCK	100	2300	-100	700	2100
0033	ICE_PUNCH	ICE	50	1900	-33	1300	1600
0034	HEART_STAMP	PSYCHIC	40	1900	-33	1100	1600
0035	DISCHARGE	ELECTRIC	65	2500	-33	1700	2100
0036	FLASH_CANNON	STEEL	100	2700	-100	1600	2500
0038	DRILL_PECK	FLYING	65	2300	-33	1700	2100
0039	ICE_BEAM	ICE	90	3300	-50	1300	2800
0040	BLIZZARD	ICE	130	3100	-100	1500	2900
0042	HEAT_WAVE	FIRE	95	3000	-100	1700	2800
0045	AERIAL_ACE	FLYING	55	2400	-33	1900	2200
0046	DRILL_RUN	GROUND	80	2800	-50	1700	2600
0047	PETAL_BLIZZARD	GRASS	110	2600	-100	1700	2300
0048	MEGA_DRAIN	GRASS	25	2600	-50	950	2000
0049	BUG_BUZZ	BUG	90	3700	-50	2000	3100
0050	POISON_FANG	POISON	35	1700	-33	900	1400
0051	NIGHT_SLASH	DARK	50	2200	-33	1300	2000
0053	BUBBLE_BEAM	WATER	45	1900	-33	1450	1700
0054	SUBMISSION	FIGHTING	60	2200	-50	1800	2000
0056	LOW_SWEEP	FIGHTING	40	1900	-33	1300	1650
0057	AQUA_JET	WATER	45	2600	-33	1700	2100
0058	AQUA_TAIL	WATER	50	1900	-33	1200	1650
0059	SEED_BOMB	GRASS	55	2100	-33	1200	1900
0060	PSYSHOCK	PSYCHIC	65	2700	-33	2000	2600
0062	ANCIENT_POWER	ROCK	70	3500	-33	2850	3100
0063	ROCK_TOMB	ROCK	70	3200	-50	2250	3000
0064	ROCK_SLIDE	ROCK	80	2700	-50	1500	2600
